gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
008151,01,000003,1964/03/31,2001/08/29,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ONEOK INC,OKE,682680103,0001039684,4923,221210
010482,01,000003,1964/03/31,2001/10/09,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TEXACO INC,TX.2,881694103,0000097349,2911,324110
006127,01,000003,1964/03/31,2001/11/29,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ENRON CORP,ENRNQ,293561106,0001024401,5172,422720
005686,01,000003,1964/03/31,2001/12/16,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HOMESTAKE MINING,HM,437614100,0000743872,1040,212221
004510,01,000003,1964/03/31,2002/01/01,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FMC CORP,FMC,302491303,0000037785,2870,325320
006307,01,000003,1964/03/31,2002/01/16,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SEARS HOLDINGS CORP,SHLDQ,482584109,0001310067,5311,452111
007180,01,000003,1964/03/31,2002/01/29,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MEAD CORP,MEA.1,582834107,,2621,322121
007892,01,000003,1964/03/31,2002/01/31,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NIAGARA MOHAWK HOLDINGS INC,NMK,653520106,0001079182,4931,22111
001243,01,000003,1964/03/31,2002/07/21,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALCAN INC,AL.1,013716105,0000004285,3350,331319
005905,01,000003,1964/03/31,2002/07/21,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INCO LTD,INCLF,453258402,0000049996,3330,331419
009267,91,000003,1964/03/31,2002/07/21,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ROYAL DUTCH PETROLEUM NV,RDPL,780257804,0000085486,2911,324110
010846,90,000003,1964/03/31,2002/07/21,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNILEVER NV,UN,904784709,0000110390,2840,3256
010301,01,000003,1964/03/31,2002/12/11,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TRW INC,TRW.1,872649108,0000100030,3714,336330
001045,01,000003,1964/03/31,2003/03/13,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN AIRLINES GROUP INC,AAL,001765106,0000006201,4512,481111
005735,01,000003,1964/03/31,2003/03/30,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HSBC FINANCE CORP,HBC1,441815107,0000354964,6141,522291
007536,01,000003,1964/03/31,2003/04/15,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PHARMACIA CORP,PHA.1,71713U102,0000067686,2834,325412
011535,01,000003,1964/03/31,2004/12/02,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WINN-DIXIE STORES INC,WINN,974280109,0000107681,5411,445110
003580,01,000003,1964/03/31,2004/12/19,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CRANE CO,CR,224399105,0000025445,3490,332912
009563,01,000003,1964/03/31,2005/03/27,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SEARS ROEBUCK & CO,S.1,812387108,0000319256,5311,452111
011038,01,000003,1964/03/31,2005/08/10,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNOCAL CORP,UCL,915289102,0000716039,1311,211111
007127,01,000003,1964/03/31,2005/08/28,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MAY DEPARTMENT STORES CO,MAY.2,577778103,0000063416,5311,452111
005169,01,000003,1964/03/31,2005/10/02,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GILLETTE CO,G.1,375766102,0000041499,3420,332211
001581,01,000003,1964/03/31,2005/11/20,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AT&T CORP,T.2,001957505,0000005907,4813,517110
005134,01,000003,1964/03/31,2005/12/19,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GEORGIA-PACIFIC CORP,GP.1,373298108,0000041077,2600,322121
003734,01,000003,1964/03/31,2006/03/02,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DANA INC,DAN,235811106,0000026780,3714,336390
007139,01,000003,1964/03/31,2006/04/02,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MAYTAG CORP,MYG.1,578592107,0000063541,3630,335224
006081,01,000003,1964/03/31,2006/12/19,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NAVISTAR INTERNATIONAL CORP,NAV,63934E108,0000808450,3711,336120
008470,01,000003,1964/03/31,2007/02/21,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PEOPLES ENERGY CORP,PGL.1,711030106,0000077385,4924,221210
008536,01,000003,1964/03/31,2007/03/19,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PHELPS DODGE CORP,PD,717265102,0000078066,3330,331411
010507,01,000003,1964/03/31,2007/10/09,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ENERGY FUTURE HOLDINGS CORP,0033A,873168108,0001023291,4911,2211
011609,01,000003,1964/03/31,2008/10/06,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WRIGLEY (WM) JR CO,WWY,982526105,0000108601,2060,311340
002504,01,000003,1964/03/31,2008/11/10,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNISYS CORP,UIS,909214306,0000746838,7373,541512
005589,01,000003,1964/03/31,2008/11/13,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HERCULES INC,HPC,427056106,0000046989,2890,325998
005073,01,000003,1964/03/31,2009/06/02,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENERAL MOTORS CO,GM,62010A105,0001467858,3711,33611
005959,01,000003,1964/03/31,2009/06/30,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INGERSOLL-RAND PLC,IR,G47791101,0001466258,3585,333415
003497,01,000003,1964/03/31,2009/09/08,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,COOPER INDUSTRIES PLC,CBE,G24140108,0001141982,3640,3351
001478,01,000003,1964/03/31,2009/10/15,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WYETH,WYE,983024100,0000005187,2834,325412
009459,01,000003,1964/03/31,2009/11/03,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SCHERING-PLOUGH,SGP,806605101,,2834,325412
002490,01,000003,1964/03/31,2010/02/15,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BURLINGTON NORTHERN SANTA FE,BRK3,12189T104,0000934612,4011,482111
004194,01,000003,1964/03/31,2010/12/19,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EASTMAN KODAK CO,KODK,277461109,0000031235,3577,333316
005860,01,000003,1964/03/31,2011/10/31,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ITT INC,ITT,45073V108,0000216228,3561,333911
001995,01,000003,1964/03/31,2012/03/13,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CONSTELLATION ENERGY GRP INC,CEG,210371100,0001004440,4931,22111
005229,01,000003,1964/03/31,2012/07/30,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GOODRICH CORP,GR,382388106,0000042542,3728,336413
005568,01,000003,1964/03/31,2013/06/06,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KRAFT HEINZ CO,KHC,423074103,0001637459,2030,31142
008446,01,000003,1964/03/31,2013/12/01,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PENNEY (J C) CO,JCP,708160106,0001166126,5311,452111
001408,01,000003,1964/03/31,2014/04/30,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BEAM INC,BEAM,073730103,0000789073,2085,312140
011446,01,000003,1964/03/31,2015/07/01,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MEADWESTVACO CORP,MWV,583334107,0001159297,2631,322130
001356,01,000003,1964/03/31,2016/10/31,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALCOA INC,AA.3,013817507,,3720,3364
008606,01,000003,1964/03/31,2017/02/28,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PITNEY BOWES INC,PBI,724479100,0000078814,3579,333318
001976,01,000003,1964/03/31,2017/07/04,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BAKER HUGHES INC,BHI,057224107,0000808362,1381,213111
004087,01,000003,1964/03/31,2017/08/31,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DU PONT (E I) DE NEMOURS,DD,263534109,0000030554,2820,3252
008264,01,000003,1964/03/31,2019/01/17,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PG&E CORP,PCG,69331C108,0001004980,4931,2211
009667,01,000003,1964/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SHERWIN-WILLIAMS CO,SHW,824348106,0000089800,2851,325510
010576,01,000003,1964/06/30,2001/01/15,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TIME WARNER INC-OLD,TWX.1,887315109,0001021387,7812,512110
003650,01,000003,1965/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CUMMINS INC,CMI,231021106,0000026172,3510,333618
004321,01,000003,1965/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EMERSON ELECTRIC CO,EMR,291011104,0000032604,3823,334513
009465,01,000003,1965/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SCHLUMBERGER LTD,SLB,806857108,0000087347,1389,213112
010391,01,000003,1967/03/31,2007/11/15,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TEKTRONIX INC,TEK.1,879131100,0000096879,3825,334515
001920,01,000003,1967/06/30,2015/03/22,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AVON PRODUCTS,AVP,054303102,0000008868,2844,325620
002574,01,000003,1967/09/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CSX CORP,CSX,126408103,0000277948,4011,482111
003851,01,000003,1968/03/31,2005/08/18,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DELTA AIR LINES INC,DAL,247361108,0000027904,4512,481111
002393,01,000003,1968/06/30,2001/04/02,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BRIGGS & STRATTON,BGG,109043109,0000014195,3510,333618
007260,01,000003,1968/06/30,2011/01/03,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MEREDITH CORP,MDP,589433101,0000065011,2721,511120
003121,01,000003,1969/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CLOROX CO/DE,CLX,189054109,0000021076,2842,325612
005071,01,000003,1969/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENERAL MILLS INC,GIS,370334104,0000040704,2040,311230
010156,01,000003,1969/03/31,2012/10/04,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SUNOCO INC,SUN.1,86764P109,0000095304,2911,324110
007881,01,000003,1969/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NEWMONT MINING CORP,NEM,651639106,0001164727,1040,212221
003480,01,000003,1969/06/30,2001/04/01,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CERIDIAN CORP,4622B,156779100,0001124887,8721,541214
007154,01,000003,1970/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MCDONALD'S CORP,MCD,580135101,0000063908,5812,722513
008692,01,000003,1970/06/30,2001/07/08,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,POTLATCHDELTIC CORP,PCH,737630103,0001338749,2421,321113
005643,01,000003,1970/06/30,2007/10/24,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HILTON WORLDWIDE HOLDINGS,HLT,432848109,0001585689,7011,721110
002290,01,000003,1970/06/30,2008/06/22,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,OFFICEMAX INC,OMX,67622P101,0000012978,5110,424120
006730,01,000003,1970/12/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LILLY (ELI) & CO,LLY,532457108,0000059478,2834,325412
001239,01,000003,1971/03/31,2006/11/16,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALBERTO-CULVER CO,ACV.1,013078100,0001368457,2844,325620
007152,01,000003,1971/09/30,2003/08/19,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MCDERMOTT INTL INC,MDR,580037703,0000708819,3730,336611
002086,01,000003,1972/09/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BAXTER INTERNATIONAL INC,BAX,071813109,0000010456,2834,325412
002111,01,000003,1972/09/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BECTON DICKINSON & CO,BDX,075887109,0000010795,3841,339112
002444,01,000003,1973/03/31,2008/06/22,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BRUNSWICK CORP,BC,117043109,0000014930,3510,333618
010332,01,000003,1973/03/31,2011/06/30,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,RS LEGACY CORP,RSHCQ,74979E101,0000096289,5731,443142
006266,01,000003,1973/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,JOHNSON & JOHNSON,JNJ,478160104,0000200406,2834,325412
005125,01,000003,1973/12/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENUINE PARTS CO,GPC,372460105,0000040987,5013,423120
005606,01,000003,1974/12/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HP INC,HPQ,40434L105,0000047217,3570,33411
010540,01,000003,1974/12/31,2004/08/02,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,THOMAS & BETTS CORP,TNB,884315102,0000097854,3640,335931
006821,01,000003,1974/12/31,2006/11/09,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LOUISIANA-PACIFIC CORP,LPX,546347105,0000060519,2400,321219
008488,01,000003,1974/12/31,2008/11/23,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,APPLIED BIOSYSTEMS INC,ABI.3,038149100,0000077551,2835,325413
011506,01,000003,1975/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WILLIAMS COS INC,WMB,969457100,0000107263,4922,486210
002044,01,000003,1975/06/30,2018/01/02,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BARD (C.R.) INC,BCR,067383109,0000009892,3841,339112
006475,01,000003,1975/12/31,2006/06/27,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KNIGHT-RIDDER INC,KRI,499040103,0000205520,2711,511110
004988,01,000003,1975/12/31,2017/06/01,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TEGNA INC,TGNA,87901J105,0000039899,4833,515120
006078,01,000003,1976/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INTL FLAVORS & FRAGRANCES,IFF,459506101,0000051253,2860,325199
002255,01,000003,1976/03/31,2010/03/14,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BLACK & DECKER CORP,BDK,091797100,0000012355,3540,333991
001447,01,000003,1976/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,522210
002547,01,000003,1976/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CIGNA CORP,CI,125523100,0001739940,6324,524114
002968,01,000003,1976/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,JPMORGAN CHASE & CO,JPM,46625H100,0000019617,6020,522110
003505,01,000003,1976/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MOLSON COORS BREWING CO,TAP,60871R209,0000024545,2082,312120
003980,01,000003,1976/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DISNEY (WALT) CO,DIS,254687106,0001001039,4888,515120
004093,01,000003,1976/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DUKE ENERGY CORP,DUK,26441C204,0001326160,4931,2211
004517,01,000003,1976/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NEXTERA ENERGY INC,NEE,65339F101,0000753308,4911,22111
006742,01,000003,1976/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LINCOLN NATIONAL CORP,LNC,534187109,0000059558,6311,524113
007647,01,000003,1976/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BANK OF AMERICA CORP,BAC,060505104,0000070858,6020,522110
008007,01,000003,1976/06/30,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WELLS FARGO & CO,WFC,949746101,0000072971,6020,522110
007562,01,000003,1976/06/30,2001/01/01,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MORGAN (J P) & CO,JPM.Z,616880100,0000068100,6020,522110
001465,01,000003,1976/06/30,2001/08/29,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN GENERAL CORP,AGC.1,026351106,0000005103,6311,524113
009380,01,000003,1976/06/30,2004/04/01,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ST PAUL COS,SPC.2,79299X952,,6331,524126
006241,01,000003,1976/06/30,2006/04/02,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,JEFFERSON-PILOT CORP,JP.1,475070108,0000053347,6311,524113
007238,01,000003,1976/06/30,2007/07/01,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MELLON FINANCIAL CORP,MEL.3,58551A108,0000064782,6020,5239
009351,01,000003,1976/06/30,2008/09/22,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SAFECO CORP,SAF,786429100,0000086104,6331,524126
